"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000198794" -3.08073311946479 3.35020551574099 -11.0734963150384 1.78048316439996e-07 4.11344496614937e-05 7.79798193773388
"ENSG00000133048" -5.55765648269645 6.6057459082106 -11.0320087589495 1.85253568335297e-07 4.23794780738805e-05 7.7600269495314
"ENSG00000230387" -5.22889747261266 1.39619913129498 -11.0179332604083 1.87769114874323e-07 4.25379080240529e-05 7.74711635819423
"ENSG00000249669" -4.3101173352424 0.268993973837864 -10.9964309320073 1.91683442302746e-07 4.30071292566564e-05 7.72736063114602
"ENSG00000079263" -5.00114582888704 3.58807147786437 -10.9508877656255 2.00268218500927e-07 4.42685398681538e-05 7.68538486488018
"ENSG00000090339" -5.33276458309272 1.74772967197547 -10.9465879751507 2.01099906832275e-07 4.42685398681538e-05 7.68141258506024
"ENSG00000075651" -2.69775979673203 4.74558803882768 -10.9208716903621 2.0615257206511e-07 4.495667398661e-05 7.6576215100222
"ENSG00000114923" -3.97115860664224 1.02881836682266 -10.8948124146626 2.11412714996705e-07 4.56768915901215e-05 7.63345430059914
"ENSG00000130203" -8.82663448773045 4.13672767099618 -10.8773101401216 2.15026833239516e-07 4.60315240991823e-05 7.61718946620469
"ENSG00000223865" 2.9969461867839 7.34277046584299 10.8534418334692 2.20063390154339e-07 4.64608526334059e-05 7.59496539517207
"ENSG00000253524" 3.84883674207155 0.0312651712815022 10.8490002763316 2.21014598538958e-07 4.64608526334059e-05 7.59082428376695
"ENSG00000113552" -3.19676716085525 7.42268775805698 -10.8389440356418 2.23184692173788e-07 4.64981393498498e-05 7.58144187519903
"ENSG00000158747" 4.39660375748309 5.44927472771805 10.8069976948491 2.30232538802223e-07 4.73277067490796e-05 7.55157699089954
"ENSG00000019582" 2.84188977997666 10.8754523248764 10.7949402635136 2.32954717858501e-07 4.73277067490796e-05 7.54028171692719
"ENSG00000144730" -4.33422408270427 -0.00171895739965495 -10.793635714821 2.33251318939923e-07 4.73277067490796e-05 7.53905885792213
"ENSG00000084636" -3.98196536803154 2.53474939631925 -10.7716373343794 2.38314724265303e-07 4.79382394483326e-05 7.51841527157336
