"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000006327" 1229.82054000581 1.36608407803703 0.302996087908794 4.5085865215799 6.52609544992828e-06 0.00258041814090164
"ENSG00000007080" 585.188517916737 1.4438749501848 0.343412311931059 4.20449384026354 2.61667064154359e-05 0.0060860680686255
"ENSG00000008256" 145.979788506002 1.14983127992759 0.359253841992092 3.20060955660676 0.00137137223539675 0.0452216146143663
"ENSG00000008382" 137.258584148455 1.0860477224318 0.318800192864838 3.40667209976328 0.000657600776137337 0.0310190225234401
"ENSG00000011304" 1102.72769934419 0.890319337221344 0.260217397055852 3.42144432806793 0.000622894761004788 0.0298536470910658
"ENSG00000025796" 50.0228859569871 -1.48986113540872 0.461323493175889 -3.22953666450427 0.00123990981774879 0.0434989066558682
"ENSG00000032444" 158.482153430141 1.52240017272717 0.406841579667684 3.74199749684067 0.000182563334266994 0.0154499924767117
"ENSG00000035681" 188.305474973144 -1.04610232992803 0.289589725020557 -3.61235996841315 0.000303422965772748 0.0203344814689058
"ENSG00000047315" 206.972889705097 -1.2985260836081 0.360257034929296 -3.60444337710976 0.000312822637087466 0.0204339053531097
"ENSG00000050130" 32.8659413463212 -1.96560285118718 0.560677829501393 -3.50576168302424 0.000455302689114187 0.0250037060105208
"ENSG00000054611" 205.96905891782 1.06737664691924 0.335879946485389 3.1778516642275 0.00148370638271914 0.0466348462939605
"ENSG00000060491" 464.451110161737 1.24686170343284 0.344342539537381 3.62099235577452 0.000293475186817265 0.019835912626931
"ENSG00000062822" 162.948836561693 1.36204472336804 0.317354585741691 4.29187030710395 1.77174427414146e-05 0.00437842303747208
"ENSG00000063241" 358.253478328654 1.54655069359291 0.373525323542148 4.14041725183968 3.46674651386832e-05 0.0063728351624412
"ENSG00000064012" 60.2916499530372 -1.35077153869845 0.408619646739213 -3.30569405920055 0.000947414725170254 0.0374097685708216
"ENSG00000064961" 1058.43666292044 1.10838068972426 0.29128990314465 3.8050776142895 0.000141759732256854 0.0136711702766731
"ENSG00000066322" 380.400596529604 1.24587838994632 0.352684348486651 3.5325593417806 0.000411557847559123 0.0241081441370188
"ENSG00000066855" 57.2122041806792 -1.58066380644838 0.474944622573841 -3.32810128027637 0.000874400714331763 0.0355176427769929
"ENSG00000067704" 259.952783373761 -1.74716223638262 0.302380917508454 -5.77801751108771 7.55859433727108e-09 5.97733640191397e-05
"ENSG00000068028" 658.060276600253 1.16761596220602 0.307271765995392 3.79994549262794 0.000144727917665946 0.013789257504847
"ENSG00000068366" 219.746665786947 -1.37026959058522 0.349971597126969 -3.91537370985021 9.02642838320688e-05 0.0104813219875353
"ENSG00000069966" 353.328715830515 1.00892324294688 0.299652694466055 3.36697537375615 0.000759974745284208 0.0328408758781832
"ENSG00000071655" 1023.39903674579 1.2775030183816 0.309317026786567 4.13007661315424 3.62642365085804e-05 0.0063728351624412
"ENSG00000072274" 244.974792727035 -1.41869598770959 0.390516283574451 -3.63287280807873 0.000280283196967373 0.019614863023168
"ENSG00000072518" 174.810026348933 1.33293914430103 0.379232145811559 3.51483691196203 0.000440024124997047 0.0246212800627649
"ENSG00000073969" 86.3744398589631 -1.38357748546036 0.378133348045163 -3.65896711467804 0.000253233829492039 0.0187156366693742
"ENSG00000074266" 96.8796678118808 -1.43108123823464 0.396725312019844 -3.60723451435098 0.000309477928078099 0.0203945954603467
"ENSG00000074416" 685.77674397114 0.996574655760585 0.282351170951077 3.52955736788235 0.00041625544745769 0.0241088330469439
"ENSG00000077463" 205.961217482121 1.20058242593996 0.349634947719017 3.43381699619114 0.000595145856479005 0.0288737020431655
"ENSG00000080822" 70.2000548805734 -1.93485266148496 0.431053709393684 -4.488657954496 7.16732706969333e-06 0.00269901059367309
"ENSG00000084072" 730.509315828203 0.927777547104994 0.269083209919211 3.44792061676218 0.000564920045332465 0.0277226139487125
"ENSG00000084207" 6532.75518042572 0.933574916297922 0.292594548313672 3.19067775417708 0.00141939497195415 0.0461916684700139
"ENSG00000086061" 354.938820512517 -1.48459471345164 0.315402361449588 -4.70698667767878 2.51405331013884e-06 0.0016567611313815
"ENSG00000086065" 471.585768051113 -1.47623731050291 0.33919681816374 -4.35215553758612 1.34805569020962e-05 0.00380729442792061
"ENSG00000086666" 82.4727986300061 -1.52235437071997 0.379671672792059 -4.00966013483377 6.08062046030374e-05 0.0081500926440817
"ENSG00000089063" 99.899309692366 -1.24758448791093 0.339309575312472 -3.67683254079116 0.00023614795095793 0.0181306601570418
"ENSG00000090674" 68.600374879008 1.5394345389371 0.480760194964973 3.20208402247041 0.00136437195693477 0.0452216146143663
"ENSG00000091073" 271.18392921762 1.13156690600548 0.333497621865538 3.39302841104429 0.000691244683903094 0.0312363597731752
"ENSG00000091140" 94.0012234768177 -1.31169809966638 0.364763543573389 -3.59602302032817 0.000323119218328975 0.0207742014515897
"ENSG00000092445" 265.427721974232 1.07731859020748 0.321082322238298 3.3552722015257 0.000792869264917631 0.0335792161467794
"ENSG00000094631" 368.632600688688 1.36383742483145 0.386923554402256 3.52482398477496 0.000423764263217654 0.0241088330469439
"ENSG00000095139" 67.474303382401 -1.18205163828994 0.372555879738688 -3.17281702578158 0.00150967635954146 0.0466348462939605
"ENSG00000096092" 93.1766991366354 -1.16948592892846 0.370678332690578 -3.15498864052753 0.00160504354462555 0.0482472237226163
"ENSG00000099797" 63.0281023053599 1.5447590722994 0.414030729862447 3.73102516523981 0.000190702171111366 0.0158744502015651
