"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000105048" 467.190292877905 -1.5416663464366 0.365298037383138 -4.22029737000652 2.43980271086888e-05 0.00214476730898047
"ENSG00000105290" 74.9473393046382 1.23414143398385 0.380025301151082 3.2475243891543 0.0011641368646205 0.0409996997100886
"ENSG00000105514" 60.308924032054 -1.48890023476525 0.377788801566617 -3.9410915003067 8.11116758241867e-05 0.00552684868618298
"ENSG00000106333" 116.13614656836 -1.52814916593278 0.440776969489317 -3.46694421830452 0.000526411120619175 0.0231377184220299
"ENSG00000106348" 63.0709440806217 -1.62569457322846 0.466627476928396 -3.48392380133654 0.000494120143284987 0.0220024972159251
"ENSG00000106538" 6.45625145405998 -6.49610224467179 1.545363851173 -4.20360696268451 2.626949266034e-05 0.00228112100595062
"ENSG00000107159" 225.780028014416 -3.33755569779147 0.431018327729768 -7.74341943965776 9.67781163983836e-15 1.72277144453673e-11
"ENSG00000107819" 226.856463034622 -1.15402044865012 0.356487307428024 -3.23719926236958 0.00120709093850699 0.0419272733055563
"ENSG00000107957" 53.8224916524843 -1.63149998480907 0.502509825293825 -3.24670265671941 0.00116750295059513 0.0409996997100886
"ENSG00000108375" 12.0330699511774 3.2234396088002 0.940320829580043 3.42802106196012 0.000607998287626418 0.0257773627534164
"ENSG00000108821" 28.6683239614105 -1.87662598351926 0.571673099416885 -3.2826907290783 0.00102821402906167 0.0373540713976206
"ENSG00000108846" 47.9619718797024 -2.40549824180571 0.42165002627541 -5.70496405052873 1.16367646076226e-08 2.85722697891644e-06
"ENSG00000109107" 101.92711332831 -1.59007836430835 0.377102225008197 -4.21657115460876 2.4804504451003e-05 0.00216712237967322
"ENSG00000110492" 23.2888142275555 -1.74592313003294 0.541745440001311 -3.22277402100277 0.00126955668820081 0.0431497775576796
"ENSG00000110721" 162.249308264838 1.45877880474778 0.393114838300538 3.71082101874907 0.000206588134597189 0.0116746889872959
"ENSG00000110811" 311.590669525085 -1.20279834459505 0.339445639743111 -3.54341963415796 0.000394973672109314 0.0188121072391597
"ENSG00000111057" 10.4179833892251 -7.59325877349526 1.41061620537113 -5.38293743158684 7.328001601161e-08 1.42956261372786e-05
"ENSG00000111254" 17.3602506189882 3.58984241567307 1.02753010986784 3.4936615299135 0.00047644465534432 0.0214716719517673
"ENSG00000111674" 535.32041201038 -1.20076968370355 0.314362932979613 -3.8196923292525 0.000133618238427286 0.00827329275409989
