"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000169442" -2.45023454757763 -1.36333427623537 -8.87858135096965 1.75719689323379e-06 0.038244157696711 4.447370967325
"ENSG00000273958" 1.88969676775213 -1.54642754649819 7.69569920868227 7.28670284263266e-06 0.038244157696711 3.45752941474147
"ENSG00000277610" 2.86711433760198 0.968286372227669 7.60754025949314 8.15175099850978e-06 0.038244157696711 3.37604571269638
"ENSG00000260290" 1.87800182736413 -1.54935128159519 7.46980165586606 9.73111054202425e-06 0.038244157696711 3.2464406995058
"ENSG00000162438" -2.29341923240065 -1.40253810502961 -7.39671437827522 1.06996781682904e-05 0.038244157696711 3.17651619774998
"ENSG00000275560" -2.67528340206917 -0.989784948758878 -7.34328756205984 1.14728209895796e-05 0.038244157696711 3.12488930143865
"ENSG00000153904" 2.14029696599987 0.555476099133895 7.00772717094599 1.79242843648721e-05 0.038244157696711 2.7905368585634
"ENSG00000115085" -2.55976873720913 -1.21635548901557 -6.99971342353469 1.81193969659419e-05 0.038244157696711 2.78233525802208
"ENSG00000213316" 2.03178213711316 -1.51090620415793 6.94318042364822 1.95620087523886e-05 0.038244157696711 2.72418496407264
"ENSG00000240184" 2.03178213711316 -1.51090620415793 6.94318042364822 1.95620087523886e-05 0.038244157696711 2.72418496407264
"ENSG00000228412" 2.27610548705954 -1.35318725886526 6.8439751816734 2.23986585357603e-05 0.038244157696711 2.62089670428542
"ENSG00000117114" 1.87800182736413 1.05486551808001 6.83657572642852 2.26271718963621e-05 0.038244157696711 2.61312872869826
"ENSG00000274712" 2.72686301672717 0.289655658957939 6.73110363043322 2.61697060711041e-05 0.038244157696711 2.50143013168106
"ENSG00000165164" -1.78068117312001 -1.53072261984977 -6.72961331667284 2.62238160258582e-05 0.038244157696711 2.49983874406708
"ENSG00000176383" -1.78068117312001 -1.53072261984977 -6.72961331667284 2.62238160258582e-05 0.038244157696711 2.49983874406708
"ENSG00000273687" -1.78068117312001 -1.53072261984977 -6.72961331667284 2.62238160258582e-05 0.038244157696711 2.49983874406708
"ENSG00000279489" 1.91286986460194 -1.54063427228573 6.67275225032633 2.83801856590985e-05 0.0389543089511414 2.43884711430052
"ENSG00000234145" 2.03178213711316 -0.0278196110889101 6.59333207168543 3.17144844263758e-05 0.0411125433113919 2.35275856313642
"ENSG00000230140" -2.21744306874492 -1.42153214594355 -6.54209273620082 3.40857876907593e-05 0.0418609352619041 2.29665716477236
"ENSG00000280424" -2.05679319005528 -1.21323283651063 -6.30252839552834 4.79733893073687e-05 0.0551841702394105 2.02846182994073
"ENSG00000266967" 2.73813886984155 -0.548795970742471 6.27854447884514 4.96643342344913e-05 0.0551841702394105 2.00107094145655
"ENSG00000120075" -2.43601096692093 0.208822900676179 -6.18883716475622 5.65738028837611e-05 0.0593402582665284 1.89773910672714
"ENSG00000224397" 2.04867838566162 1.96245944425615 6.16600758006775 5.84908691236031e-05 0.0593402582665284 1.87121936591421
"ENSG00000042317" 2.75286106480379 1.38270410126008 6.13568739990893 6.11444819007709e-05 0.0594477225280245 1.83585794316957
"ENSG00000272576" -2.86521360863697 0.427452894810369 -6.06721320355394 6.76200983828771e-05 0.0612323991465734 1.75540795505634
"ENSG00000277945" -2.96786806651824 1.09183557574041 -6.04807348876953 6.95578231913012e-05 0.0612323991465734 1.73277393597388
"ENSG00000136197" 1.6505747259662 -1.01014929404562 6.03559768363185 7.08526089379224e-05 0.0612323991465734 1.71798582060701
"ENSG00000258704" -2.28736724345745 -1.15543326435448 -5.93651305127809 8.20924747943435e-05 0.0675040027807037 1.59956338864322
"ENSG00000143429" 2.79384190795011 0.0800026509308916 5.90867510406108 8.55807156725623e-05 0.0675040027807037 1.56598053401393
"ENSG00000236305" -2.7443126975001 0.415163844888826 -5.89931727668822 8.67883810500176e-05 0.0675040027807037 1.55466072510943
"ENSG00000270916" 2.19961790973664 -0.300209828895537 5.82665214341423 9.68051129608376e-05 0.0728661453492963 1.46623187022239
"ENSG00000127530" 1.69325101999491 -0.408896536402323 5.80331042555467 0.000100277621090787 0.0731211878291381 1.43762738809398
"ENSG00000260805" 2.04867838566162 -1.37765954392181 5.73242823474157 0.000111657084745059 0.0787582659450482 1.35016882255598
"ENSG00000237852" 2.14029696599987 -1.36418225712433 5.71443391610669 0.000114758765840903 0.0787582659450482 1.32782373351716
"ENSG00000176659" -2.52055338176184 -0.159383245165999 -5.6148709431013 0.000133654617272287 0.0853243100250141 1.20314160022036
"ENSG00000253317" -2.46078894408247 -0.0163001721035935 -5.59896136766058 0.000136967718121591 0.0853243100250141 1.18305370695143
"ENSG00000242861" 2.05062758934982 0.527201145525622 5.59539925896825 0.000137721366651119 0.0853243100250141 1.17854987109733
"ENSG00000128604" -1.96386538587182 -0.528597572586027 -5.58962328399868 0.000138952763390355 0.0853243100250141 1.17124204863043
"ENSG00000214922" 2.07751621395176 0.332105962904002 5.54902855158988 0.000147943182241419 0.0885155439595198 1.11971246446133
"ENSG00000170423" 1.78482856050633 1.95278174435436 5.50419040638684 0.000158593848514507 0.0921650169162906 1.06245295322447
