"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ko:K00688" 2372.96143515249 -0.55449577207948 0.164354175213332 -3.37378573656399 0.00074142053379926 0.00557256118551478
"ko:K01267" 393.009770123067 -0.803939464955017 0.320520927472935 -2.50822768826195 0.0121338452759488 0.0430199968874548
"ko:K01866" 1002.92236814134 -0.293933950337244 0.0994388570785421 -2.9559264755535 0.00311731392913468 0.0158680289593699
"ko:K07085" 2062.9925233726 0.785400129640688 0.235491703667552 3.33514989024604 0.000852534324575114 0.00622119642257516
"ko:K03046" 3300.10374060139 -0.382288589533574 0.0877252054199656 -4.35779645887917 0.0000131378476403769 0.000230569226088615
"ko:K01139" 1540.89625595706 0.561951332071296 0.190517608014332 2.94960312554953 0.00318182365067694 0.0160693539768001
"ko:K04085" 566.557856097325 1.75437626754953 0.630254367212175 2.78360033475012 0.00537592321140911 0.0239267230672658
"ko:K01201" 1005.86220658518 0.779197076027064 0.151049909964194 5.15854048646418 0.000000248882295014969 0.0000094954006032885
"ko:K01875" 1015.64299888815 -0.412887121722358 0.100088698181256 -4.1252122290035 0.0000370393046140094 0.00050586754550651
"ko:K03695" 1891.24720168081 -0.345103563635693 0.0948584698426997 -3.63808908374725 0.000274668427131069 0.00264133199789055
"ko:K03763" 2108.01559238777 -0.641951220823238 0.15418662881134 -4.16346881550099 0.0000313448852657589 0.000445427316934468
"ko:K01992" 4990.47371538118 -0.533140805151496 0.186118964095162 -2.86451629334721 0.00417646668034425 0.0198636829918812
"ko:K01990" 6282.8702901283 -0.757755203757933 0.196862513097902 -3.84915945567094 0.0001185238365413 0.00131764463826323
"ko:K00845" 1648.98636980087 -0.395570483116096 0.150153973162837 -2.63443234157456 0.0084278098445695 0.0330682621534489
"ko:K13967" 207.526268360973 -1.42673427060303 0.451240307228028 -3.16180591084043 0.00156794032397749 0.00958792776508883
"ko:K19979" 213.38919954843 -1.43263484784277 0.451680097345726 -3.17179095616914 0.00151502019481489 0.00937457949407443
"ko:K20433" 213.38919954843 -1.43263484784277 0.451680097345726 -3.17179095616914 0.00151502019481489 0.00937457949407443
"ko:K01286" 990.238045104835 -1.33178331610231 0.355874674986984 -3.74228179105754 0.000182356861383387 0.00189932517345902
"ko:K07258" 1323.39098875536 -1.25578901406894 0.404229628042883 -3.10662288696889 0.00189237636976572 0.0110888832351881
"ko:K21471" 3001.85503442505 -0.818501162135621 0.233525180451862 -3.5049803218302 0.000456641033773535 0.00394780795208155
"ko:K12257" 2186.80221260232 0.318201181482056 0.11802888338329 2.69596027989793 0.00701860353834889 0.0287795542285101
"ko:K02343" 1547.84709206451 -0.36649132496855 0.100208656119921 -3.65728210674698 0.000254903786409282 0.00251323677049601
"ko:K18445" 69.7662007892289 -2.26297870346251 0.833573619274354 -2.7147916526347 0.0066317477535437 0.027484424055521
"ko:K02887" 869.683480516556 0.496470743544126 0.184271604015178 2.69423358090069 0.00705507034587572 0.0288953289545202
"ko:K00335" 516.283516781783 1.33224282036669 0.316574122295748 4.20831245051067 0.0000257284946904131 0.000382656848997246
"ko:K18331" 421.010607225676 1.67918202385425 0.331126276748289 5.07112283671377 0.000000395475394971581 0.0000134768799645655
"ko:K03466" 2774.78626031508 -0.41663156712893 0.114139206137855 -3.65020557989279 0.000262030504897834 0.002560140087026
"ko:K07284" 402.121887517438 -2.0116032181566 0.467255855745559 -4.30514287498197 0.0000166877997951523 0.000277799728797718
"ko:K12524" 1213.92249228472 0.613934944738293 0.146109363963882 4.20188636841958 0.000026470000075089 0.000387123751098176
"ko:K00945" 1335.83518273071 -0.271621001944632 0.0820206531495563 -3.31161715390585 0.0009275839194672 0.00664452970883647
"ko:K02945" 2509.10753996255 -0.220380853032273 0.0740754091648369 -2.97508789376875 0.0029290461101484 0.0153307743092206
"ko:K03527" 1839.71820075869 -0.430024841156901 0.0733117319957098 -5.86570292981301 0.00000000447233905585533 0.000000320365511960249
"ko:K00826" 816.456462006966 -0.393943420325341 0.108536661180997 -3.6295885283259 0.000283873363878695 0.00271497413409869
"ko:K01271" 1542.72696162266 0.462986971914375 0.159230144473418 2.90765905818584 0.00364145106672096 0.0178263504103076
"ko:K03296" 6604.15337200707 0.477702371108992 0.147421317082453 3.24038870743375 0.00119366858283035 0.00798635392503244
"ko:K21473" 191.017291358342 -1.5160169307781 0.575169868262996 -2.63577251596376 0.00839459882575771 0.0329955676130006
"ko:K12373" 4827.68902428205 0.820953862422292 0.250757568442141 3.27389465260234 0.00106076149885129 0.00734520663583869
"ko:K00382" 644.87017863359 0.588605553212305 0.19020927441289 3.09451552785281 0.00197134615307937 0.0114046502965629
"ko:K04771" 2213.34577841255 -0.480984494271216 0.144206710466686 -3.33538219348211 0.000851822374539446 0.00622119642257516
"ko:K08372" 582.600240292802 -1.22375706060845 0.269658675150298 -4.5381705592315 0.00000567443577989309 0.000114342299627801
"ko:K21493" 32.8726976893923 -4.0246966015911 1.65214139507377 -2.43604852078136 0.0148486926174511 0.0498268748444104
"ko:K02027" 3289.00910540874 -0.847782599656238 0.199584361743024 -4.24774061580939 0.0000215937194311039 0.000338365871442744
"ko:K05970" 2175.82883637351 0.591601253860411 0.101408838142172 5.83382340926738 0.00000000541714540340384 0.00000037282706599897
"ko:K01187" 5980.49737874342 0.515963540118766 0.1395649125378 3.69694309792242 0.000218211228653196 0.00220092359934689
"ko:K06207" 1374.24681270893 -0.270633883979292 0.0827898085158749 -3.26892752659765 0.00107955949066718 0.00741536949558081
"ko:K01745" 545.051492175075 1.67879171938226 0.334940810242092 5.01220415084337 0.000000538100694826657 0.0000168636914182283
"ko:K10774" 117.51785335493 7.08592102065628 0.990994513241451 7.15031307033062 0.000000000000865802098807325 0.000000000168831409267428
"ko:K10775" 117.51785335493 7.08592102065628 0.990994513241451 7.15031307033062 0.000000000000865802098807325 0.000000000168831409267428
"ko:K21181" 117.51785335493 7.08592102065628 0.990994513241451 7.15031307033062 0.000000000000865802098807325 0.000000000168831409267428
"ko:K02996" 342.161846037228 -0.369349078293976 0.147965171572248 -2.49618930164003 0.0125535588229933 0.0442844135363885
"ko:K05592" 1490.97284558353 0.244652005619548 0.0987840989094907 2.47663346955977 0.0132628025783482 0.0461372022299326
"ko:K04567" 1477.54577086643 -0.329739616701562 0.104502445647069 -3.15532918545442 0.00160317110560839 0.00971046244239189
"ko:K07402" 131.161498650186 4.10296531368922 0.995131967172686 4.12303639018485 0.0000373910599819706 0.000508692327661693
"ko:K07487" 3953.31689720652 1.79222575051446 0.260241348004518 6.88678322740378 0.00000000000570680797954737 0.000000000870908522096142
"ko:K07277" 2618.23230607276 0.566018014355686 0.217509815842652 2.60226423420425 0.00926104675302492 0.0352562625847261
"ko:K02371" 393.559350375655 0.598444723267036 0.221435432246103 2.70256985161221 0.00688057254090307 0.0283460206790725
"ko:K01006" 1931.47200453994 -0.503537179656439 0.102548576074221 -4.9102308284807 0.000000909692469671171 0.0000255441645483665
"ko:K00016" 239.747598170042 -1.53330089543604 0.518602388428515 -2.95660207058109 0.00311049260646189 0.0158680289593699
"ko:K01939" 919.84438661926 -0.352544590213936 0.116489436291247 -3.02640824299728 0.00247477920248709 0.0134883152185244
"ko:K03553" 817.229894927113 -0.438920259810904 0.118832634270719 -3.69360035233231 0.000221101197606539 0.00222368253180215
"ko:K00008" 1112.85765424424 0.46091800376755 0.139790404403951 3.29720774278354 0.000976512439892955 0.00686885503812479
"ko:K02121" 267.78274739165 0.607585779200169 0.218112783909238 2.7856495539161 0.00534205909659157 0.0238557600878326
"ko:K01439" 512.087825166934 0.512637871547162 0.201503999056991 2.54405805317131 0.010957287203872 0.0397725729944059
"ko:K03169" 3953.50182098305 0.276788837483376 0.109327701689246 2.53173562790264 0.0113499530388728 0.0410281515617337
"ko:K01624" 885.071963931092 -0.428856847766635 0.157379893022091 -2.72497864582 0.006430564599792 0.0269347037533054
"ko:K07053" 459.667433140262 -1.14776810324699 0.398497747014908 -2.88023737108871 0.00397375866397769 0.0191591935584639
"ko:K12240" 37.8060314405361 8.46371663716251 1.78709182601209 4.73602783805987 0.00000217947663916214 0.0000523218177143876
"ko:K18534" 36.0850227381874 8.50201773438591 1.80854460451545 4.70102739692384 0.00000258855778281479 0.0000593845608998688
"ko:K19620" 36.0850227381874 8.50201773438591 1.80854460451545 4.70102739692384 0.00000258855778281479 0.0000593845608998688
"ko:K01881" 1169.26418805967 -0.580687085442587 0.133140984756451 -4.36144502389563 0.0000129206263440695 0.000227896474711979
"ko:K02528" 1304.65111865714 -0.323941276258958 0.128193058008546 -2.52697986374086 0.0115048098823865 0.0414598384878612
"ko:K17216" 41.9406021867002 5.21638997444434 1.76468465366317 2.95598987820065 0.0031166731882305 0.0158680289593699
"ko:K02856" 117.401375823593 1.70246609196378 0.594466944031785 2.86385325383669 0.00418521853949896 0.0198783722241425
"ko:K04773" 696.589147880887 0.922436931372539 0.266624379697138 3.45968711646079 0.000540803385492196 0.00454863637071171
"ko:K02358" 1129.83155520575 -0.526879930509389 0.13251642626572 -3.97595939882123 0.0000700960848547521 0.00086632837267669
"ko:K05813" 373.486357756476 -1.45193195143321 0.488970865585698 -2.96936290814395 0.00298417934713302 0.0155177326050917
"ko:K07714" 57.6096140217 5.26956433552936 1.24297456517571 4.23947881410142 0.0000224039335514222 0.000344902661252157
"ko:K03406" 7279.28594650524 -1.7357120911816 0.608589281047226 -2.85202540569707 0.00434416284548034 0.0203850422294599
"ko:K02836" 863.477718536211 -0.313935525967432 0.119425205831411 -2.62872082808554 0.00857066887844763 0.0332042469794163
"ko:K03332" 1241.35466103312 -0.645390127662795 0.190889095279063 -3.38096907379277 0.000722306720131153 0.00549955875848231
"ko:K04043" 1787.12948743966 -0.439009634431141 0.124176693071411 -3.53536258352989 0.000407215981773001 0.00359127662317396
"ko:K02056" 824.008555571301 -1.23760918013229 0.395086559996085 -3.13250134386893 0.00173323634072252 0.0103639856148825
"ko:K02346" 1319.54987261108 -0.722840379183232 0.148801910228754 -4.85773588572893 0.00000118735643733969 0.0000315728870838053
"ko:K03502" 383.119835433798 -2.10037942064718 0.4823881207441 -4.35412757969097 0.0000133597889435583 0.000233297806924824
"ko:K14161" 340.646146409872 -2.08689328596672 0.490637461867708 -4.25343241835336 0.0000210518492991396 0.000335872686545364
"ko:K00558" 2714.67002388648 -0.45985118716048 0.180696404910927 -2.54488287903215 0.0109314396462858 0.0397198272861939
"ko:K03769" 1172.59789609708 0.791379924173882 0.265509861235094 2.98060463928743 0.00287679935345194 0.0151161163631981
"ko:K01840" 2779.22671160326 -0.20183085118982 0.0760807240327754 -2.65285134645764 0.00798150131352831 0.0319442070815101
"ko:K09955" 1977.32553650163 0.600103202574225 0.189092327439964 3.17359890112281 0.00150561596638148 0.0093534726407062
"ko:K16899" 1194.0700685856 -0.853318103596448 0.293809155128576 -2.90432782199392 0.00368042573468289 0.017992053382642
"ko:K01873" 1838.4995815003 -0.317740200123822 0.0736083611368074 -4.31663190453697 0.000015842802440688 0.000268664379830951
"ko:K03313" 398.944480830246 0.55614638973428 0.21649236546495 2.5688960834248 0.0102023046304398 0.037667386124626
"ko:K07319" 330.595841338057 -0.983616233433376 0.355498419507481 -2.76686527832138 0.00565981390195776 0.024586567816673
"ko:K00677" 606.017609527784 0.675785009525417 0.243769689938061 2.77222738272804 0.00556741316168431 0.0243198193265679
